Invoice Number,Total Charged
X15688941,2755430.0
813728138,18004.67
G42174195,10245.21
27307572,20873.79
E37309831,32837.29
729631867,15540.73
R86891888,23346.1
G17880187,
185501314,23682.1
368374325,6687.35
525894132,22340.19
Z32874868,14885.81
25775764,11581.47
655237307,
X94129448,16766.05
Q32399790,
122800810,38225.29
36268118,8755.42
347890376,21103.47
E36037758,7293.49
631541528,20162.74
K89069468,26350.05
265806304,14330.38
404404809,11444.81
A56544011,6991.38
545042290,13200.05
G56427813,21.5
739441125,30330.66
767258161,24853.43
891036587,30907.62
616133418,49205.55
D11535455,
M99701294,15654.3
Q85906860,3774.93
T05657365,
614116764,8854.14
544235753,
113847505,28092.02
R99017922,9033.5
578429792,23905.98
99736670,21061.0
556781099,13861.12
486128729,
136721665,24763.92
411912154,13970.15
226951501,
788637963,
Q93290777,2072447.0
E22390057,
P15962702,33205.58
X18990729,
358951563,79630.89
797056017,39959.78
T19198420,
266632390,13994.7
R00681180,
C44648217,14432.28
W82809165,
W92106592,
752619552,43880.72
P94091081,19621.19
666554693,25001.9
U13431705,41316.48
510533668,21849.75
J34221786,8654.18
S52552586,
M88834311,15492.29
347345320,9358.68
909249547,33845.14
A89165346,16181.67
314375014,63555.56
E88462246,75896.21
400438952,-20729.66
D42270420,53642.67
L72796583,
T38566505,63256.65
M57255552,49061.21
968858029,33500.0
267115359,17158.92
587945621,17557.65
J57753721,20361.73
798373233,
363331588,25877.51
713971768,22184.47
N69004567,43687.4
J31035181,9801.23
E10850399,
708583208,30927.87
G15941590,27796.94
K22363359,29764.74
K17203280,50859.41
K46176755,31290.92
B88262085,23998.1
725748905,26.0
J61758079,21854.03
L23619384,68997.66
828655515,
195621415,
525094401,49152.32
337689402,10012.84
V14223434,33491.45
Q86274702,34383.92
755478342,29489.0
656058731,13830.69
T70079518,18790.61
613714113,28976.11
761485484,9686.56
U82787473,25495.2
S79609985,
991001106,20.5
288807811,34949.1
774944901,
S53605606,21892.08
924504787,39899.79
336525253,
D07341731,81721.08
A92477926,31916.07
P39725283,7555.23
840169060,28831.27
V49251693,34132.56
I54358125,69737.25
W28530445,14918.35
B91326331,
958585754,1501838.0
R63669385,2925254.0
470286696,31509.79
I96416098,
559781413,
U31929699,13387.78
Q38405095,6264.27
Y31637916,32618.13
V62061340,29720.71
I65934666,
850174225,39202.9
130538375,34620.21
513356951,13196.75
247390083,42156.23
V37847717,63564.9
F02022898,25560.72
E56485804,15514.35
76592153,29892.96
Q01887853,9187.44
229307847,42.0
G67531466,61779.41
S35264324,
317166185,48534.85
I15725077,8947.42
U64433052,14392.33
Z34426267,35132.48
L85354169,14443.03
994185758,
202313975,18975.72
987120802,20525.75
242969362,13654.24
J78713589,22207.81
634010388,309.13
9121602,
326452930,
Q26371927,6663.86
H06183335,36697.7
Z25278999,
X04862706,20784.7
242007358,23579.85
48661514,29905.65
U89813792,19725.37
125184742,25673.22
327297099,14492.99
702992978,32372.85
E38033006,
D12358554,
Q90870065,47123.42
230475082,43226.34
706551682,7212.4
432790320,2290.33
188588309,32046.85
F79114333,62749.84
V93101563,
M42191720,28807.03
396056152,15664.84
H06316666,44773.94
334385845,23625.25
882433012,27836.76
Y21203729,12718.52
N20997906,33592.47
726488347,48260.15
T33836658,13743.03
379818130,49469.04
594789673,20708.14
W19626146,32982.78
D00472775,12212.83
988306831,35118.64
384267740,8776.76
667025891,26264.11
85743606,30943.24
S64053689,19134.2
362557395,44485.82
614603905,27976.0
L27724327,58994.0
J36454724,29525.1
436971423,29466.17
J36873143,11976.15
L59231488,
H15630205,36450.38
U17850650,13519.0
F64209688,27749.22
572122970,25740.49
H18274146,
235811933,7418.18
R55947574,29006.76
O91804735,25644.12
G14127348,11714.08
103758022,40320.68
699332564,74119.77
Q51920772,
829334188,
577043934,31399.15
R99836473,16770.93
J68690208,9717.2
986103842,26143.91
R71248609,20759.25
T42816382,31328.42
L18529036,16296.9
234167336,
752909953,10990.95
L91824062,21390.02
220394393,9.99
Y13797066,
386549974,21317.68
458353949,11706.33
F18337579,32295.63
185963084,8623.52
511240237,36573.3
160102086,20510.52
586013532,
407777516,26560.26
A58911591,12109.82
106360273,30265.06
C16117913,17164.13
I46763029,19519.27
472290194,45338.7
P66662233,36139.37
886739160,14773.54
620408513,9258.39
311329035,23.0
B33555156,32128.59
K83821400,52026.22
31514774,60009.89
M26157817,66016.73
764781629,39218.87
D95769840,36923.82
630512376,22516.38
122226488,18596.02
918886884,25290.12
Q15791654,53491.77
593669616,41556.18
E34699329,35736.04
N24993972,34274.18
703451834,
T07636920,18969.05
A76823618,
D97411180,30194.3
49763407,20951.88
W61021495,12180.88
307470195,32921.22
Y31978723,41585.87
B60889837,15426.48
K73521656,7503.85
700548009,3949786.0
L22044366,43568.2
736758427,16604.92
436839815,56260.39
L54805510,11245.19
939817245,43247.67
K25032074,
746198696,
935586801,50623.32
255670995,13555.65
A26546694,40209.1
F77551310,9163.68
E46989130,57379.34
461859922,11626.62
751427376,32993.52
395010656,
U59837005,28665.65
150776319,5938.62
A69243791,17626.66
912844401,57905.29
A99168889,37489.45
M24969380,30034.6
A39589839,24957.7
H31012065,25751.05
635633352,-924.19
392831401,17034.0
D82623371,29906.02
323201698,42382.61
65699539,31800.69
386011105,42602.85
W15412659,43439.74
V70675550,3461.72
686584156,18215.54
331259515,60911.17
135727105,18784.36
983617542,12785.8
832633503,13802.43
609421183,
575531791,35187.34
726467142,15129.87
X12123762,
986171240,17.0
P18266517,29863.98
R77142788,16544.83
797267275,51417.38
848725585,38544.55
C17154110,37050.24
755601719,34555.93
183415481,21037.23
N09584961,26871.47
612898045,7390.1
W97972029,51109.89
750543706,25835.91
496781934,38483.33
R46120796,17271.79
135264446,19616.93
A37078503,15676.68
Q78108237,14706.95
Z78637462,22287.9
V92553057,68758.0
T90219746,26513.74
R84137954,24846.0
699009652,3465623.0
R20106650,42353.78
972138635,19386.37
524793003,37907.89
818399780,28359.94
Z99389813,
K14239365,29599.95
W47657185,
403683388,41289.42
222558964,33690.85
590261339,14988.7
D49607132,15138.96
A84129136,24049.36
742330985,22733.23
809284411,1668345.0
B26859631,25871.82
G53930080,28251.61
D74433131,98828.01
K92316917,27661.43
D20909989,41460.88
F67422126,2.0
965755307,66436.52
M68017650,22319.81
P08719747,6417.22
R23219078,27029.83
J64991660,17831.31
M07592029,
L18808314,
V61272032,
925892156,31537.56
811235820,61926.0
723425338,18641.14
R03341205,38559.39
318618545,15571.77
F74524164,20733.48
L70579294,24161.3
J25814578,7764.07
199417262,
680893196,6719.69
985182047,
Y93321181,55889.34
603286412,43453.29
U28463995,23569.19
33766712,19189.82
70616730,55226.33
605039232,24558.15
807212429,
I66617824,
Y82727944,29318.79
130404667,216602.28
W39290560,
U36061231,
434892677,28913.34
W01167881,32093.35
837241294,58828.83
823676197,24709.44
474114541,20722.75
794702947,
625819123,39189.93
325287105,19879.52
123836711,20557.1
578814008,25789.09
170766270,13594.31
309274394,36831.74
G17325862,32330.6
J76272810,25958.12
G32580915,45438.99
E07736809,18551.82
R73909213,21504.59
R32377274,9783.52
D96716081,18587.11
946901916,21169.57
Y90909242,83956.34
T38909264,
V18849890,51689.5
743726256,21584.55
C08777013,48780.78
401552981,21935.42
544492821,25188.89
V01801273,
165983071,32644.59
391056964,
878065362,21569.16
871403053,18626.45
P88187405,44475.03
D52810356,11767.3
E23717166,37179.09
779691932,40702.21
39056981,18984.64
393778884,24960.29
392444101,13748.66
44597363,51793.63
859205539,17597.85
242179311,14234.55
O78576600,
799776408,
520070561,
G41453766,30066.0
663345025,28799.44
211083444,31743.49
J35125934,
954200518,22608.03
126358148,39234.31
544855945,30082.98
T19049083,30217.38
G77442408,54607.16
746111033,18008.96
Z88542280,49897.99
Z31860688,16261.81
370187501,22628.89
373764603,6853.95
D35346006,16711.88
I30638138,
I23873481,
R38283220,24709.96
126681282,20786.85
C97486408,39600.78
508344808,21935.85
K18316941,16291.74
N00268955,
R99833344,11935.6
K37537400,36437.03
M72342104,41584.05
S36128443,
17596441,72193.63
173606528,15321.85
D20014588,17173.63
I33403797,
930183776,25897.75
361699968,26131.31
368794132,51031.96
390897961,24407.67
961883319,31265.4
H02256990,14820.44
M89647629,25929.43
51034734,11310.12
279284583,
792594601,58876.9
147743736,19776.65
237089499,21848.83
W42549923,30096.74
751972338,4048845.0
V66148186,
96194542,31110.65
V29140554,22247.97
V25420476,19.0
A42301146,
529668905,36816.09
Z43976944,
465461155,56389.0
248323893,47012.9
Y70356799,12253.19
F07073333,7682.98
615636638,42241.33
104318201,31127.52
G09158293,8430.01
O47230055,
G17932841,35913.41
741145915,9883.26
454585168,
D20708144,21019.78
B09247092,21427.85
F05230769,38503.14
Q46020680,12478.79
191741155,
27925570,37041.82
W36776142,43046.33
I95842174,
266467617,9187.47
667343977,24768.13
403991206,34978.21
607892690,32150.75
V76598086,25454.35
N25567128,24745.01
835843019,33.1
204399748,437363.0
S47401094,
D11134795,
494091188,6038741.0
198539153,47888.55
528743584,
454491562,2705.18
959582503,38792.48
L33585975,15544.77
549395094,14403.28
W99024265,
E17563797,23484.65
966145498,24962.86
477606415,35290.0
H45592789,27143.03
472235640,19189.41
407356000,9046.97
D84399780,20769.96
636548454,19615.38
T95562510,24196.76
X28381205,
424072504,17424.05
209744002,15734.44
K92229773,6403.87
K70239507,5458.58
O67414744,
X38916906,14462.12
885950361,27709.65
I24402201,
24657907,22228.78
281895150,19599.17
119717474,33176.9
D74038509,36742.78
A80456950,32256.25
T47259797,17810.6
758291013,
528603667,20681.32
K40440095,32513.19
W58207596,37657.87
O60986005,
492220579,14229.7
453119089,
Q85018852,58349.02
O76445265,
890267186,32597.36
595776459,8005.64
798041220,
472956253,53797.01
S53687736,
558414677,23399.18
R87559116,22897.08
W17730802,19268.51
J82544808,50778.3
N09187253,28771.28
Y63849262,12624.0
357695641,31387.31
F44362101,33927.37
T61409340,20878.35
U11487802,
433366401,46129.9
77513314,36307.79
D30432564,
567832112,60583.57
421812810,65904.88
D26486574,22943.99
613440155,
266599813,37375.93
792259145,59159.97
S89728960,
A22107063,44991.59
309450343,75660.86
493452624,11554.43
I99400488,
809891519,15893.65
J28413248,8639.07
824803463,21252.43
W65013771,61193.56
Y48501916,
R83293383,7373.45
G10851948,27357.42
364819954,61600.42
W85462759,17218.11
O97239806,
M70995524,57734.85
407698,11822.17
Y91934048,34031.08
U74004057,12245.55
C68565121,26092.91
122599134,11867.51
X25754230,41436.08
J90057880,10467.43
878286065,19023.15
333708450,
808905920,32509.26
L47310765,7982.49
Q93985855,13689.76
162925003,27237.42
G21618614,
834989824,
862900451,22131.73
M75323838,23417.76
243841909,10732.39
832110031,41475.33
E44789653,45698.63
492182901,21681.33
385264182,
377801020,43465.92
W80065390,
191182808,14539.25
B30463489,12991.7
597203847,29666.23
Q26330928,17848.26
R28514790,20025.36
Z89805935,
B51043157,30702.67
175793810,8107.63
354147830,24051.05
C71449344,56357.12
141514961,6901.08
346994476,27087.95
70295977,65554.79
865291955,14052.75
A75338604,42386.38
V61251674,18184.7
K78283897,
H35677554,
127764837,16376.56
995807922,24576.8
972873081,
C32864238,1856.15
N73924243,25299.76
102057491,28821.34
771105327,24373.67
766596401,47034.92
H25644335,
695303300,
133674207,59595.0
681446755,6764.69
754761015,48282.12
75615360,22234.35
204305641,5086.28
275359730,51614.83
T56307050,11557.37
878649276,13418.32
123425725,
61346439,41451.56
F40354089,12241.56
W62193637,
K62786286,
L27687801,33092.95
B08732550,10400.3
74014843,62337.01
E30881832,19418.26
701183358,94229.39
I15224985,
20219957,30392.91
50122521,13238.33
J00264026,26868.09
726631194,21347.64
27287842,59376.09
U09990181,13026.94
437938912,86555.19
X08063931,33093.47
996910233,26260.02
M36317047,29192.31
909326843,19013.94
O20518692,
537333499,
50496674,22104.54
919965246,38614.22
602475699,8749.1
678530051,
E57700562,22155.89
190442299,39689.71
437707200,17585.06
744290199,24882.51
802300134,15265.75
283339745,38299.75
W94677031,
203005751,68944.11
326934939,14013.34
774492180,22777.66
687940519,28698.11
788626427,
226285539,39814.11
P22044150,25199.06
957331057,14300.87
V39848944,13516.87
229888271,18850.09
488568128,43133.13
R42382980,
L01616257,12655.86
L21090415,
873781176,44443.51
299041246,37853.07
486619081,36475.75
507356393,8166.26
363832314,71956.22
404530236,39848.57
R88280613,11921.19
939985256,22.6
A15413523,
P62552585,12112.08
X92090720,32991.07
86677836,3683.67
226495711,
I37011552,
554890095,61565.63
